Aircraft_ID,Model,Manufacturer,Seating_Capacity,Range_km,Purchase_Year,Status
QA1001,A380,Airbus,449,14468,2020,Retired
QA1002,B737,Boeing,327,15010,2022,Retired
QA1003,B777,Boeing,434,14967,2022,Retired
QA1004,A350,Airbus,299,10737,2022,Retired
QA1005,B787,Boeing,445,11464,2019,Active
QA1006,A380,Airbus,229,12730,2018,Retired
QA1007,B737,Boeing,449,10353,2018,Retired
QA1008,B787,Boeing,425,13198,2018,Active
QA1009,B737,Boeing,210,12232,2022,Retired
QA1010,B777,Boeing,224,14796,2020,Active
QA1011,A320,Airbus,226,12006,2020,Active
QA1012,B777,Boeing,484,13349,2021,Retired
QA1013,A320,Airbus,320,12711,2018,Active
QA1014,A320,Airbus,309,15362,2018,Retired
QA1015,B737,Boeing,430,10445,2021,Retired
QA1016,A380,Airbus,374,10484,2022,Retired
QA1017,B787,Boeing,407,12194,2022,Active
QA1018,B777,Boeing,339,11181,2022,Retired
QA1019,A320,Airbus,271,13034,2020,Active
QA1020,A350,Airbus,295,12529,2021,Active
